,keyword,count
0,가족,310
1,일,304
2,마음,285
3,엄마,239
4,시간,224
5,결혼,224
6,추억,214
7,해외여행,197
8,기회,175
9,생각,169
10,올해,158
11,집,157
12,남편,156
13,아들,133
14,행복,126
15,감사,121
16,해외,121
17,제주,120
18,이벤트,117
19,국내,113
20,부모님,113
21,축하,111
22,이번,108
23,계획,103
24,어머니,102
25,작년,99
26,유럽,99
27,딸,99
28,아내,97
29,동안,93
30,사랑,93
31,아이들,91
32,일상,91
33,선물,90
34,당첨,89
35,사람,88
36,삶,87
37,한번,87
38,아이,85
39,자유,83
40,환갑,83
41,생활,80
42,휴가,80
43,친구,77
44,상황,75
45,내년,74
46,예약,74
47,가족들,73
48,부부,73
49,지금,72
50,시작,71
51,몸,71
52,힐링,70
53,그동안,70
54,첫,70
55,꿈,69
56,고생,69
57,아버지,67
58,하루,67
59,여행사,66
60,어디,65
61,호텔,64
62,기념,64
63,마지막,61
64,준비,61
65,신혼여행,59
66,종식,58
67,비행기,57
68,기억,56
69,진심,55
70,가지,55
71,건강,54
72,창립,54
73,친구들,54
74,백신,54
75,그때,54
76,취소,53
77,화이팅,52
78,답답,52
79,약속,50
80,신청,50
81,아빠,48
82,예전,48
83,나이,47
84,차,47
85,회사,46
86,여름,46
87,우울,46
88,인생,46
89,그날,46
90,직장,45
91,언니,45
92,패키지,44
93,정도,44
94,안녕,44
95,힘,43
96,여행가,43
97,세상,43
98,제주도,42
99,이용,42
100,이후,42
101,여행지,41
102,개월,41
103,맞이,40
104,모습,40
105,베트남,40
106,접종,39
107,희망,39
108,생일,39
109,누구,36
110,달,35
111,처음,35
112,칠순,35
113,수술,35
114,시국,34
115,근무,34
116,퇴직,34
117,여유,34
118,호캉스,34
119,시절,32
120,스트레스,32
121,하나,32
122,휴식,32
123,가슴,32
124,가이드,31
125,동생,31
126,미안,30
127,신랑,30
128,스페,30
129,이젠,30
130,대학,30
131,얼마,30
132,가을,30
133,간절,29
134,동유럽,29
135,명,29
136,계획하,29
137,기원,29
138,박,28
139,걱정,28
140,힐링하,28
141,평생,28
142,조금,27
143,끝,27
144,억,27
145,은,27
146,사진,27
147,소중,27
148,가족여행,27
149,사연,27
150,친정,27
151,상품,27
152,바다,26
153,시대,26
154,눈,26
155,길,26
156,뒤,26
157,마스크,26
158,병원,26
159,모두,25
160,필요,25
161,공부,25
162,우울증,25
163,일본,25
164,요즘,25
165,괌,24
166,발,24
167,완료,24
168,극복,24
169,회복,24
170,기분,24
171,둘째,24
172,세월,24
173,터키,24
174,다들,23
175,세계,23
176,취업,23
177,사이판,23
178,응원,23
179,현실,23
180,다음,23
181,와이프,23
182,순간,22
183,행운,22
184,이유,22
185,애,22
186,결혼기념일,21
187,사태,21
188,이전,20
189,오늘,20
190,이야기,20
191,연세,20
192,자신,20
193,병,20
194,언제,20
195,가능,20
196,평범,20
197,하늘,20
198,뜻,20
199,자연,19
200,학교,19
201,언제쯤,19
202,기간,19
203,사람들,19
204,미국,19
205,되길,19
206,미,19
207,최고,19
208,인연,19
209,덕분,18
210,졸업,18
211,돈,18
212,경험,18
213,식구,18
214,자리,18
215,팔순,18
216,다리,18
217,발전,18
218,여자친구,18
219,진짜,17
220,번창,17
221,결혼식,17
222,육아,17
223,숙박권,17
224,하루하루,17
225,사이,17
226,경제적,17
227,속상,17
228,니다,17
229,눈물,17
230,도움,16
231,반복,16
232,출발,16
233,남자친구,16
234,코로나로,16
235,외국,16
236,모,16
237,오길,16
238,주,16
239,터,16
240,호주,16
241,치료,16
242,직전,16
243,묵,16
244,중국,16
245,갱년기,16
246,공항,16
247,노력,15
248,추석,15
249,정년,15
250,구경,15
251,학년,15
252,옆,15
253,나라,15
254,이상,15
255,어디론,15
256,용기,15
257,아기,15
258,할머니,15
259,자기,15
260,만족,15
261,위로,15
262,참여,15
263,운영,15
264,자,15
265,어머님,15
266,즐거움,15
267,한국,15
268,기념일,15
269,방역,15
270,수능,15
271,소망,15
272,고민,14
273,부터,14
274,무산,14
275,포기,14
276,발생,14
277,효도,14
278,고향,14
279,자식들,14
280,딸아이,14
281,네,14
282,안전,14
283,아쉬움,14
284,기대,14
285,콕,14
286,상태,14
287,장애,14
288,시험,14
289,자유로운,14
290,지역,14
291,만큼,14
292,상상,14
293,후회,14
294,둘이,14
295,동남아,14
296,다낭,14
297,연애,13
298,추천,13
299,코로나땜,13
300,부모,13
301,텐데,13
302,손,13
303,밥,13
304,둘만,13
305,간호,13
306,부산,13
307,음식,13
308,현재,13
309,충전,13
310,자식,13
311,서로,13
312,관계,13
313,스위스,13
314,특별,13
315,정신,13
316,소원,13
317,가게,13
318,우리나라,13
319,반,13
320,다,12
321,의미,12
322,쪽,12
323,자녀,12
324,셋,12
325,숙박,12
326,나들이,12
327,친절,12
328,대학생,12
329,행,12
330,임신,12
331,직장생활,12
332,혼자,12
333,안,12
334,너,12
335,본인,12
336,그것,12
337,구,12
338,이별,12
339,운동,12
340,직원,12
341,활동,12
342,주말,12
343,집안,12
344,심신,12
345,태국,12
346,유럽여행,12
347,문,11
348,방문,11
349,맛,11
350,결과,11
351,북유럽,11
352,이탈리아,11
353,치매,11
354,여행상품,11
355,회,11
356,여파,11
357,소식,11
358,탈출,11
359,무료,11
360,보,11
361,시간들,11
362,장,11
363,날들,11
364,형편,11
365,년차,11
366,진행,11
367,치유,11
368,첫째,11
369,숙소,11
370,쌍둥이,10
371,가득,10
372,사회,10
373,방콕,10
374,합격,10
375,당신,10
376,일주,10
377,홈쇼핑,10
378,간,10
379,노랑풍,10
380,다운,10
381,머리,10
382,호캉스라,10
383,탓,10
384,군대,10
385,편안,10
386,식사,10
387,가정,10
388,입대,10
389,여행업계,10
390,장거리,10
391,뉴질랜드,10
392,중반,10
393,투병,10
394,격려,10
395,빛,10
396,활력,10
397,부탁,10
398,계기,10
399,신,10
400,발리,10
401,주변,10
402,미래,10
403,서울,10
404,개,10
405,확산,10
406,일정,10
407,방학,10
408,분전환,10
409,예정,9
410,코시국,9
411,책,9
412,네요,9
413,차례,9
414,단계,9
